antecedent,consequent,support,confidence,lift
['acer nitro 17 nvidia rtx 4060'],intel i7-13700h gaming laptop,0.076923,1.0,13.0
['intel i7-13700h gaming laptop'],acer nitro 17 nvidia rtx 4060,0.076923,1.0,13.0
"['acer nitro 17 nvidia rtx 4060', 'xiaomi watch s1 active']",intel i7-13700h gaming laptop,0.076923,1.0,13.0
"['intel i7-13700h gaming laptop', 'xiaomi watch s1 active']",acer nitro 17 nvidia rtx 4060,0.076923,1.0,13.0
['acer nitro 17 nvidia rtx 4060'],"17.3"" qhd 165hz",0.076923,1.0,13.0
"['17.3"" qhd 165hz']",acer nitro 17 nvidia rtx 4060,0.076923,1.0,13.0
"['17.3"" qhd 165hz']",intel i7-13700h gaming laptop,0.076923,1.0,13.0
['intel i7-13700h gaming laptop'],"17.3"" qhd 165hz",0.076923,1.0,13.0
"['17.3"" qhd 165hz', 'acer nitro 17 nvidia rtx 4060']",intel i7-13700h gaming laptop,0.076923,1.0,13.0
"['acer nitro 17 nvidia rtx 4060', 'intel i7-13700h gaming laptop']","17.3"" qhd 165hz",0.076923,1.0,13.0
"['17.3"" qhd 165hz', 'intel i7-13700h gaming laptop']",acer nitro 17 nvidia rtx 4060,0.076923,1.0,13.0
"['acer nitro 17 nvidia rtx 4060', 'xiaomi watch s1 active']","17.3"" qhd 165hz",0.076923,1.0,13.0
"['17.3"" qhd 165hz', 'xiaomi watch s1 active']",acer nitro 17 nvidia rtx 4060,0.076923,1.0,13.0
"['17.3"" qhd 165hz', 'xiaomi watch s1 active']",intel i7-13700h gaming laptop,0.076923,1.0,13.0
"['intel i7-13700h gaming laptop', 'xiaomi watch s1 active']","17.3"" qhd 165hz",0.076923,1.0,13.0
"['17.3"" qhd 165hz', 'acer nitro 17 nvidia rtx 4060', 'xiaomi watch s1 active']",intel i7-13700h gaming laptop,0.076923,1.0,13.0
"['acer nitro 17 nvidia rtx 4060', 'intel i7-13700h gaming laptop', 'xiaomi watch s1 active']","17.3"" qhd 165hz",0.076923,1.0,13.0
"['17.3"" qhd 165hz', 'intel i7-13700h gaming laptop', 'xiaomi watch s1 active']",acer nitro 17 nvidia rtx 4060,0.076923,1.0,13.0
"['17.3"" qhd 165hz']",16gb,0.076923,1.0,13.0
['16gb'],"17.3"" qhd 165hz",0.076923,1.0,13.0
['acer nitro 17 nvidia rtx 4060'],16gb,0.076923,1.0,13.0
['16gb'],acer nitro 17 nvidia rtx 4060,0.076923,1.0,13.0
['intel i7-13700h gaming laptop'],16gb,0.076923,1.0,13.0
['16gb'],intel i7-13700h gaming laptop,0.076923,1.0,13.0
"['17.3"" qhd 165hz', 'acer nitro 17 nvidia rtx 4060']",16gb,0.076923,1.0,13.0
"['16gb', 'acer nitro 17 nvidia rtx 4060']","17.3"" qhd 165hz",0.076923,1.0,13.0
"['16gb', '17.3"" qhd 165hz']",acer nitro 17 nvidia rtx 4060,0.076923,1.0,13.0
"['17.3"" qhd 165hz', 'intel i7-13700h gaming laptop']",16gb,0.076923,1.0,13.0
"['16gb', '17.3"" qhd 165hz']",intel i7-13700h gaming laptop,0.076923,1.0,13.0
"['16gb', 'intel i7-13700h gaming laptop']","17.3"" qhd 165hz",0.076923,1.0,13.0
"['17.3"" qhd 165hz', 'xiaomi watch s1 active']",16gb,0.076923,1.0,13.0
"['16gb', 'xiaomi watch s1 active']","17.3"" qhd 165hz",0.076923,1.0,13.0
"['acer nitro 17 nvidia rtx 4060', 'intel i7-13700h gaming laptop']",16gb,0.076923,1.0,13.0
"['16gb', 'acer nitro 17 nvidia rtx 4060']",intel i7-13700h gaming laptop,0.076923,1.0,13.0
"['16gb', 'intel i7-13700h gaming laptop']",acer nitro 17 nvidia rtx 4060,0.076923,1.0,13.0
"['acer nitro 17 nvidia rtx 4060', 'xiaomi watch s1 active']",16gb,0.076923,1.0,13.0
"['16gb', 'xiaomi watch s1 active']",acer nitro 17 nvidia rtx 4060,0.076923,1.0,13.0
"['intel i7-13700h gaming laptop', 'xiaomi watch s1 active']",16gb,0.076923,1.0,13.0
"['16gb', 'xiaomi watch s1 active']",intel i7-13700h gaming laptop,0.076923,1.0,13.0
"['17.3"" qhd 165hz', 'acer nitro 17 nvidia rtx 4060', 'intel i7-13700h gaming laptop']",16gb,0.076923,1.0,13.0
"['16gb', '17.3"" qhd 165hz', 'acer nitro 17 nvidia rtx 4060']",intel i7-13700h gaming laptop,0.076923,1.0,13.0
"['16gb', 'acer nitro 17 nvidia rtx 4060', 'intel i7-13700h gaming laptop']","17.3"" qhd 165hz",0.076923,1.0,13.0
"['16gb', '17.3"" qhd 165hz', 'intel i7-13700h gaming laptop']",acer nitro 17 nvidia rtx 4060,0.076923,1.0,13.0
"['17.3"" qhd 165hz', 'acer nitro 17 nvidia rtx 4060', 'xiaomi watch s1 active']",16gb,0.076923,1.0,13.0
"['16gb', 'acer nitro 17 nvidia rtx 4060', 'xiaomi watch s1 active']","17.3"" qhd 165hz",0.076923,1.0,13.0
"['16gb', '17.3"" qhd 165hz', 'xiaomi watch s1 active']",acer nitro 17 nvidia rtx 4060,0.076923,1.0,13.0
"['17.3"" qhd 165hz', 'intel i7-13700h gaming laptop', 'xiaomi watch s1 active']",16gb,0.076923,1.0,13.0
"['16gb', '17.3"" qhd 165hz', 'xiaomi watch s1 active']",intel i7-13700h gaming laptop,0.076923,1.0,13.0
"['16gb', 'intel i7-13700h gaming laptop', 'xiaomi watch s1 active']","17.3"" qhd 165hz",0.076923,1.0,13.0
"['acer nitro 17 nvidia rtx 4060', 'intel i7-13700h gaming laptop', 'xiaomi watch s1 active']",16gb,0.076923,1.0,13.0
"['16gb', 'acer nitro 17 nvidia rtx 4060', 'xiaomi watch s1 active']",intel i7-13700h gaming laptop,0.076923,1.0,13.0
"['16gb', 'intel i7-13700h gaming laptop', 'xiaomi watch s1 active']",acer nitro 17 nvidia rtx 4060,0.076923,1.0,13.0
"['17.3"" qhd 165hz', 'acer nitro 17 nvidia rtx 4060', 'intel i7-13700h gaming laptop', 'xiaomi watch s1 active']",16gb,0.076923,1.0,13.0
